ep,run,uav_success,ugv_success,joint,time_s,uav_final_dist_m,ugv_final_dist_m,total_vlm_calls
town10hd_001,collab_town10hd_001_20260828_192851,True,True,True,155.8,2.6,6.3,9
town10hd_001,collab_town10hd_001_20260828_233203,True,True,True,172.3,3.0,3.4,9
town10hd_002,collab_town10hd_002_20260828_193136,True,True,True,150.2,4.9,4.5,9
town10hd_002,collab_town10hd_002_20260828_233817,False,True,True,180.2,12.5,4.7,11
town10hd_003,collab_town10hd_003_20260828_193415,False,True,True,180.2,9.0,5.6,14
town10hd_003,collab_town10hd_003_20260828_234434,True,True,True,169.7,3.4,4.9,14
town10hd_004,collab_town10hd_004_20260828_193725,True,True,True,130.3,4.1,5.3,9
town10hd_004,collab_town10hd_004_20260828_235047,False,True,True,180.3,10.8,4.9,12
town10hd_005,collab_town10hd_005_20260828_193945,True,True,True,163.7,6.3,5.7,11
town10hd_005,collab_town10hd_005_20260828_235710,False,True,True,180.2,6.3,3.6,12
town10hd_006,collab_town10hd_006_20260828_194239,False,False,False,180.3,41.6,52.4,11
town10hd_006,collab_town10hd_006_20260829_000333,False,False,False,180.3,53.9,60.0,13
town10hd_007,collab_town10hd_007_20260828_194549,True,True,True,158.3,4.9,4.6,10
town10hd_007,collab_town10hd_007_20260829_000946,False,True,True,180.2,97.0,4.8,12
town10hd_008,collab_town10hd_008_20260828_194837,True,True,True,137.6,6.2,6.2,9
town10hd_008,collab_town10hd_008_20260829_001608,False,True,True,180.2,6.1,4.8,17
town10hd_009,collab_town10hd_009_20260828_195104,True,True,True,171.7,6.1,5.0,12
town10hd_009,collab_town10hd_009_20260829_002230,True,True,True,148.1,4.1,4.5,13
town10hd_010,collab_town10hd_010_20260828_195405,True,True,True,132.7,3.9,7.5,9
town10hd_010,collab_town10hd_010_20260829_002756,True,True,True,128.7,2.7,3.6,9
town10hd_011,collab_town10hd_011_20260828_195627,True,True,True,137.1,10.5,8.7,8
town10hd_011,collab_town10hd_011_20260829_003224,True,True,True,128.6,3.3,4.2,9
town10hd_012,collab_town10hd_012_20260828_195854,False,False,False,180.2,87.3,15.8,18
town10hd_012,collab_town10hd_012_20260829_003755,False,False,False,180.2,7.8,10.8,13
town10hd_013,collab_town10hd_013_20260828_200204,False,True,True,180.2,23.3,4.6,12
town10hd_013,collab_town10hd_013_20260829_004417,False,True,True,180.2,14.1,4.6,13
town10hd_014,collab_town10hd_014_20260828_200514,True,True,True,169.7,7.4,8.1,11
town10hd_014,collab_town10hd_014_20260829_005040,False,False,False,180.2,24.9,8.8,16
town10hd_015,collab_town10hd_015_20260828_200813,True,True,True,161.2,3.1,9.6,9
town10hd_015,collab_town10hd_015_20260829_005702,True,True,True,142.7,3.3,4.5,9
town10hd_016,collab_town10hd_016_20260828_202740,False,False,False,180.2,28.0,51.6,14
town10hd_016,collab_town10hd_016_20260829_010247,False,False,False,180.2,19.4,40.2,14
town10hd_017,collab_town10hd_017_20260828_203050,False,False,False,180.2,89.6,45.2,17
town10hd_017,collab_town10hd_017_20260829_010909,False,False,False,180.2,81.3,72.9,14
town10hd_018,collab_town10hd_018_20260828_203400,True,True,True,136.6,3.4,4.9,13
town10hd_018,collab_town10hd_018_20260829_011440,True,True,True,130.1,3.3,4.8,13
town10hd_019,collab_town10hd_019_20260828_203626,False,True,True,180.3,1.6,3.6,14
town10hd_019,collab_town10hd_019_20260829_011950,False,False,False,180.3,89.5,41.0,16
town10hd_020,collab_town10hd_020_20260828_203937,False,True,True,180.2,45.1,3.8,12
town10hd_020,collab_town10hd_020_20260829_012612,True,False,True,180.2,2.9,52.6,20
town10hd_021,collab_town10hd_021_20260828_204246,False,True,True,180.2,7.7,3.9,10
town10hd_021,collab_town10hd_021_20260829_013235,False,True,True,180.2,7.3,4.4,14
town10hd_022,collab_town10hd_022_20260828_204556,True,True,True,133.1,3.0,3.2,9
town10hd_022,collab_town10hd_022_20260829_013858,True,True,True,128.6,2.6,4.8,13
town10hd_023,collab_town10hd_023_20260828_204819,False,False,False,180.2,98.3,45.2,11
town10hd_023,collab_town10hd_023_20260829_014429,False,False,False,180.2,95.5,70.3,16
town10hd_024,collab_town10hd_024_20260828_205129,False,True,True,180.3,13.5,3.6,12
town10hd_024,collab_town10hd_024_20260829_015035,True,True,True,138.7,4.8,4.0,9
town10hd_025,collab_town10hd_025_20260828_205439,True,False,True,180.2,0.7,4.5,12
town10hd_025,collab_town10hd_025_20260829_015533,False,True,True,180.2,134.0,4.5,10
town10hd_026,collab_town10hd_026_20260828_205749,True,True,True,130.2,3.8,3.6,9
town10hd_026,collab_town10hd_026_20260829_020117,True,True,True,131.7,3.4,3.8,9
town10hd_027,collab_town10hd_027_20260828_210009,True,True,True,172.7,4.4,4.4,12
town10hd_027,collab_town10hd_027_20260829_020651,True,True,True,127.6,3.4,4.7,11
town10hd_028,collab_town10hd_028_20260828_210311,True,True,True,166.2,3.8,3.9,11
town10hd_028,collab_town10hd_028_20260829_021213,False,True,True,180.2,20.5,4.9,12
town10hd_029,collab_town10hd_029_20260828_210607,False,False,False,180.2,81.9,20.9,14
town10hd_029,collab_town10hd_029_20260829_021835,False,False,False,180.2,75.0,61.6,13
town10hd_030,collab_town10hd_030_20260828_210917,True,True,True,161.2,5.2,3.4,11
town10hd_030,collab_town10hd_030_20260829_022443,True,True,True,131.7,2.1,3.8,9
town10hd_031,collab_town10hd_031_20260828_211207,False,True,True,180.2,9.3,4.7,13
town10hd_031,collab_town10hd_031_20260829_023017,False,False,False,180.2,14.4,15.1,14
town10hd_032,collab_town10hd_032_20260828_211517,False,True,True,180.2,8.0,4.9,15
town10hd_032,collab_town10hd_032_20260829_023627,False,True,True,180.2,0.9,4.8,17
town10hd_033,collab_town10hd_033_20260828_211827,False,False,False,180.2,58.5,32.3,15
town10hd_033,collab_town10hd_033_20260829_024250,False,False,False,180.2,65.9,8.5,12
town10hd_034,collab_town10hd_034_20260828_212137,False,True,True,180.2,20.7,3.7,15
town10hd_034,collab_town10hd_034_20260829_024912,False,False,False,180.2,78.2,51.6,20
town10hd_035,collab_town10hd_035_20260828_212447,True,True,True,136.7,3.4,4.8,9
town10hd_035,collab_town10hd_035_20260829_025534,True,True,True,127.2,3.2,5.0,9
town10hd_036,collab_town10hd_036_20260828_212713,True,True,True,136.6,3.3,4.2,10
town10hd_036,collab_town10hd_036_20260829_030012,True,True,True,134.1,3.5,4.5,10
town10hd_037,collab_town10hd_037_20260828_212940,True,True,True,157.6,2.8,4.9,13
town10hd_037,collab_town10hd_037_20260829_030549,True,True,True,135.1,3.3,3.6,9
town10hd_038,collab_town10hd_038_20260828_213227,True,True,True,136.2,3.7,4.6,11
town10hd_038,collab_town10hd_038_20260829_031035,True,True,True,131.7,3.6,4.4,12
town10hd_039,collab_town10hd_039_20260828_213453,False,True,True,180.2,62.7,4.6,13
town10hd_039,collab_town10hd_039_20260829_031609,False,True,True,180.2,70.5,4.5,13
town10hd_040,collab_town10hd_040_20260828_213802,True,True,True,137.7,2.0,3.1,9
town10hd_040,collab_town10hd_040_20260829_032200,True,True,True,142.3,2.1,3.6,9
town10hd_041,collab_town10hd_041_20260828_214030,True,True,True,131.1,2.9,4.2,9
town10hd_041,collab_town10hd_041_20260829_032648,True,True,True,125.1,2.9,3.9,9
town10hd_042,collab_town10hd_042_20260828_214251,False,False,False,180.2,141.7,32.1,14
town10hd_042,collab_town10hd_042_20260829_033215,False,False,False,180.2,129.7,34.5,19
town10hd_043,collab_town10hd_043_20260828_214600,True,True,True,136.2,3.6,3.7,9
town10hd_043,collab_town10hd_043_20260829_033748,True,True,True,127.1,3.3,4.1,9
town10hd_044,collab_town10hd_044_20260828_214826,True,True,True,151.2,4.5,3.3,10
town10hd_044,collab_town10hd_044_20260829_034231,True,True,True,148.7,4.5,4.2,10
town10hd_045,collab_town10hd_045_20260828_215107,False,True,True,180.2,29.5,4.9,15
town10hd_045,collab_town10hd_045_20260829_034822,False,True,True,180.2,9.1,4.9,15
town10hd_046,collab_town10hd_046_20260828_215417,False,False,False,180.3,56.0,21.1,14
town10hd_046,collab_town10hd_046_20260829_035445,False,False,False,180.3,131.9,58.8,11
town10hd_047,collab_town10hd_047_20260828_215727,True,True,True,135.6,5.4,4.9,10
town10hd_047,collab_town10hd_047_20260829_040012,False,True,True,180.2,14.7,5.0,15
town10hd_048,collab_town10hd_048_20260828_215952,False,True,True,180.2,71.5,3.6,10
town10hd_048,collab_town10hd_048_20260829_040634,False,True,True,180.2,72.1,1.9,12
town10hd_049,collab_town10hd_049_20260828_220302,False,False,False,180.2,92.4,5.0,21
town10hd_049,collab_town10hd_049_20260829_041257,False,True,True,180.2,91.2,4.6,13
town10hd_050,collab_town10hd_050_20260828_220612,True,True,True,130.1,2.7,4.9,12
town10hd_050,collab_town10hd_050_20260829_041904,True,True,True,152.6,3.6,3.4,10
